PersNummer;;Abteilung;Ausbildung;Eintrittsjahr;Bruttogehalt
560426;;Finanzen;Abitur;2006;13200
590303;;Vertrieb;Mittlere Reife;2008;13500
611117;;Entwicklung;Promotion;2008;17600
620212;;Geschaftsführung;Master;2006;18000
620624;;Entwicklung;Master;2007;17400
640530;;Geschaftsführung;Mittlere Reife;2009;7200
681212;;Entwicklung;Bachelor;2009;10800
700525;;Test/Anwendungen;Bachelor;2010;7200
711204;;Geschaftsführung;Bachelor;2007;13600
730119;;Finanzen;Bache lor;2009;9600
730523;;Entwicklung;Master;2010;7400
730526;;Schulung;Promotion;2009;18200
741222;;Vertrieb;Abitur;2008;9600
750227;*);Geschaftsführung;Mittlere Reife;2010;2800
750705;;Schulung;Master;2009;9200
760104;;Test/Anwendungen;Bachelor;2010;5000
760930;;Entwicklung;Bachelor;2010;4800
780522;;Finanzen;Abitur;2010;6400
780920;;Entwicklung;Master;2010;5400
790820;;Entwicklung;Bachelor;2010;6800
791112;*);Schulung;Bachelor;2010;2400
811030;*);Test/Anwendungen;Abitur;2010;2000
870512;;Vertrieb;Bachelor;2010;5500
850621;;Vertrieb;Abitur;2010;4000
890323;;Test/Anwendungen;Abitur;2010;3400
