,Krankenhäuser,Sozialmedizin,Arztpraxen,Zahnmedizin,Andere,Unterstützer,Detailhandel,Prävention,Staat,Versicherer,Importe
1995,12618.01,5626.22,5426.39,2678.79,1850.24,539.26,4291.59,523.88,873.51,1412.37,216.1
1996,13190.23,5983.41,5679.4,2731.91,1952.4,530.95,4459.82,543.27,864.67,1613.91,222.72
1997,13306.79,6218.51,5889.7,2752.02,1972.85,510.27,4646.23,554.69,810.88,1654.12,228.3
1998,13733.42,6517.62,6245.69,2787.4,2077.57,573.09,4777.1,598.37,815.25,1718.39,233.29
1999,14276.61,6635.99,6510.67,2787.08,2165.11,586.25,4933.82,622.52,861.53,1712.13,238.48
2000,14902.55,7041.51,6783.89,2897.78,2236.26,609.89,5094.54,647.37,885.8,1725.3,247.56
2001,16139.77,7546.75,7114.71,2984.3,2380.98,630.13,5329.64,679.05,921.52,1769.76,257.39
2002,16990.83,8067.66,7225.76,3034.52,2474.02,657.33,5420.9,685.82,1050.68,1759.7,262
2003,17727.33,8374.88,7385.51,3137.89,2514.52,663.08,5768.62,701.56,1043.76,1835.71,275.65
2004,18220.54,8629.93,7816.69,3236.47,2749.3,752.58,5952.56,726.04,1040.98,1950.6,284.81
2005,18305.1,8899.17,8093.79,3310.32,2911.45,816.33,6010.93,753.18,1052.62,1945.42,289.82
2006,18534.87,9005.23,8149.75,3461.79,2982.44,791.19,5932.99,767.55,1076.92,2050.58,294.32
2007,19375.96,9516.85,8485.99,3617.13,3112.32,806.17,6088.94,796.3,1249.64,2119.38,305.09
2008,20709.05,9971.44,8952.58,3722.96,3247.21,884.11,6307.61,839.75,1331.96,2281.43,315.26
2009,21715.14,10487.97,9224.82,3777.95,3410.78,900.91,6628.99,873.4,1496.4,2315.03,325.85
2010,22458.32,10768.79,9374.59,3860.64,3646.08,901.7,6628.43,887.16,1286.88,2424,328.39
2011,23039.86,11301.46,9665.25,3894.57,3749.34,992.17,6559.18,917.56,1259.96,2487.28,376.06
2012,24285.57,11747.5,10026.82,3978.16,3930.25,1019.98,6578.9,926.57,1238.54,2404.24,375.91
2013,25341.26,12040.35,10695.47,4061.21,4136.83,1217.39,6622.68,963.88,1284.21,2347.64,407.1
2014,26177.93,12323.52,11251.11,4155.96,4412.69,1323.91,6669.36,1033.64,1262.9,2393.22,424.99
2015,27148.71,12641.98,12080.3,4067.89,4851.01,1417.34,6914.21,1039.9,1275.84,2462.53,484.94
2016,28459,12796.24,12654.02,4001.77,5320.83,1574.26,7112.84,1045.8,1304.73,2610.14,575.57
2017,29020.36,13143.86,13180.07,4224.67,5619.82,1689.15,7107.74,1054.15,1360.03,2642.33,600.82
2018,29462.47,13404.13,12080.72,4413.52,5797.66,1763.24,7343.74,1097.81,1506.48,2693.61,678.41
2019,30331.02,13630.97,12829.77,4501.75,6092.7,1831.63,7499,1030.9,1278.23,2796.98,648.9
2020,30872.64,13927.28,11984.54,4235.5,6165.87,1552.5,7596.31,1035.22,2442.03,2935.86,563
